shopping_profile_id,brand_id,name
1,51,BCBG MAX AZRIA
1,379,Marc by Marc Jacobs
1,552,Steve Madden
1,2333,Forever 21
1,2335,Victoria's Secret
1,4089,Aldo
1,4484,Newport News
2,51,BCBG MAX AZRIA
2,379,Marc by Marc Jacobs
2,552,Steve Madden
2,1674,Miu Miu
2,1688,Moschino
2,2333,Forever 21
2,3650,Mayle
2,4089,Aldo
2,4296,McQ by Alexander McQueen
2,4484,Newport News
5,783,Be & D
5,909,Carolina Herrera
5,1052,Derek Lam
5,1138,Erickson Beamon
5,1147,Eugenia Kim
5,2676,Dries Van Noten
7,171,Diane von Furstenberg
7,321,Kenneth Cole
7,959,Christian Louboutin
9,3193,Proenza Schouler
10,959,Christian Louboutin
11,131,Citizens of Humanity
11,171,Diane von Furstenberg
11,194,Ella Moss
11,253,Hanky Panky
11,292,Jessica Simpson
11,309,Juicy Couture
11,379,Marc by Marc Jacobs
11,421,Nicole Miller
11,422,Nike
11,424,Nine West
11,491,Rock & Republic
11,713,Andrew Marc New York
11,834,Bobbi Brown
11,870,Burberry
11,936,Chanel
11,957,Christian Dior
11,959,Christian Louboutin
11,981,Coach
11,1106,Ed Hardy
11,1171,Fendi
11,1225,Giorgio Armani
11,1242,Gucci
11,1274,Hermes
11,1374,Jimmy Choo
11,1405,Juicy Couture Beach
11,1407,Juicy Couture Timepieces
11,1603,Manolo Blahnik
11,1606,Marc Jacobs
11,1712,Narciso Rodriguez
11,1847,Prada
11,1982,See by Chloe
11,2139,Tory Burch
11,2156,Trish McEvoy
11,2160,True Religion
11,2263,Yves Saint Laurent
11,2279,Arden B
11,2311,Louis Vuitton
11,2335,Victoria's Secret
11,2683,Banana Republic
11,3125,NARS
11,4405,The Body Shop
11,4483,GUESS by Marciano
11,12130,American Apparel
12,379,Marc by Marc Jacobs
12,391,Michael Kors
12,870,Burberry
12,955,Chloé
12,957,Christian Dior
12,959,Christian Louboutin
12,981,Coach
12,1171,Fendi
12,1242,Gucci
12,1603,Manolo Blahnik
12,1606,Marc Jacobs
12,1847,Prada
13,284,J.Crew
13,480,Rebecca Taylor
13,844,Bottega Veneta
13,870,Burberry
13,981,Coach
13,1146,Etro
13,1274,Hermes
13,1847,Prada
13,1873,Ralph Lauren
13,2311,Louis Vuitton
13,3957,L'Wren Scott
15,284,J.Crew
15,379,Marc by Marc Jacobs
15,391,Michael Kors
15,783,Be & D
15,955,Chloé
